sku,fields.weight.value,fields.package_height,fields.package_width.value,fields.package_length.value,fields.height.value,fields.width.value,fields.length.value,fields.package_weight.value,fields.abn_size,fields.target_color,fields.frame_color,fields.color,fields.size
OP6012-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,Beige,Taupe,
OP6012-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
OP6012-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,beige,Teak,
OP6012-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,blue,Navy,
OP6012-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
OP6012-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,White,White,White,
OP6019-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
OP6019-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
OP6019-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,White,White,White,
OP6019-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,blue,Navy,
OP6019-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,Beige,Taupe,
OP6019-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Black,Black,Black,
OP6019-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,beige,Teak,
OP6001-NB-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Navy Blue,
OP6001-TQ-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Turquoise,
OP6001-GY-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Gray,Gray,Gray,
OP6001-DKGR-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Dark Green,
OP6001-PB-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Pacific Blue,
OP6001-WH-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,White,White,White,
OP6001-DKBR-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Brown,Brown,Dark Brown,
OP6001-OR-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Orange,Orange,Orange,
OP6001-RD-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Red,Red,Red,
OP6001-LM-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Lime,
OP6001-BK-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Black,Black,Black,
OP6001-WW-8-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Beige,Beige,Weathered Wood,
2001AOC-NB2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Navy Blue,
2001AOC-WH2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,White,White,White,
2001AOC-DKBR2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Brown,Brown,Dark Brown,
2001AOC-WW2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Weathered Wood,
2001AOC-DKGR2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Dark Green,
2001AOC-BK2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Black,Black,Black,
2001AOC-RD2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Red,Red,Red,
2001AOC-LM2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Lime,
2001AOC-SD2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Sand,
2001AOC-GY2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Gray,Gray,Gray,
2001AOC-OR2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Orange,Orange,Orange,
2001AOC-PB2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Pacific Blue,
2001AOC-TK2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,blue,beige,Teak,
2001AOC-TQ2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Turquoise,
OP6001-AOC-TQ2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Turquoise,
OP6001-AOC-WH2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,White,White,White,
OP6001-AOC-DKBR2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Brown,Brown,Dark Brown,
OP6001-AOC-LM2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Green,Green,Lime Green,
OP6001-AOC-GY2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Gray,Gray,Gray,
OP6001-AOC-NB2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Navy Blue,
OP6001-AOC-WW2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Beige,Beige,Weathered Wood,
OP6001-AOC-RD2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Red,Red,Red,
OP6001-AOC-PB2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Pacific Blue,
OP6001-AOC-OR2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Orange,Orange,Orange,
OP6001-AOC-DKGR2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Dark Green,
OP6001-AOC-BK2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Black,Black,Black,
OP6018-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Black,Black,Black,
OP6018-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,beige,Teak,
OP6018-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
OP6018-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,White,White,White,
OP6018-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
OP6018-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,blue,Navy,
OP6018-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,Beige,Taupe,
2001ADOT-NB2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Navy Blue,
2001ADOT-DKGR2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Dark Green,
2001ADOT-GY2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Gray,Gray,Gray,
2001ADOT-PB2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Pacific Blue,
2001ADOT-TQ2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Turquoise,
2001ADOT-WW2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Weathered Wood,
2001ADOT-LM2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Lime,
2001ADOT-BK2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Black,Black,Black,
2001ADOT-TK2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,blue,beige,Teak,
2001ADOT-SD2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Sand,
2001ADOT-OR2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Orange,Orange,Orange,
2001ADOT-RD2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Red,Red,Red,
2001ADOT-WH2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,White,White,White,
2001ADOT-DKBR2-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Brown,Brown,Dark Brown,
OP6001-OT-DKGR-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Dark Green,
OP6001-OT-RD-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Red,Red,Red,
OP6001-OT-PB-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Pacific Blue,
OP6001-OT-NB-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Navy Blue,
OP6001-OT-DKBR-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Brown,Brown,Dark Brown,
OP6001-OT-WW-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Beige,Beige,Weathered Wood,
OP6001-OT-BK-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Black,Black,Black,
OP6001-OT-LM-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Lime,
OP6001-OT-WH-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,White,White,White,
OP6001-OT-TQ-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Turquoise,
OP6001-OT-GY-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Gray,Gray,Gray,
OP6001-OT-OR-2-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Orange,Orange,Orange,
OP6016-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
OP6016-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,beige,Teak,
OP6016-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,blue,Navy,
OP6016-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Black,Black,Black,
OP6016-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
OP6016-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,Beige,Taupe,
OP6016-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,White,White,White,
2001ADOT-NB-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,,Navy Blue,
2001ADOT-RD-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Red,,Red,
2001ADOT-BK-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Black, Black,Black,
2001ADOT-DKGR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,,Dark Green,
2001ADOT-SD-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,,Sand,
2001ADOT-DKBR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Brown,,Dark Brown,
2001ADOT-TK-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Teak,
2001ADOT-LM-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,,Lime,
2001ADOT-PB-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,,Pacific Blue,
2001ADOT-GY-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Gray,,Gray,
2001ADOT-TQ-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,,Turquoise,
2001ADOT-OR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Orange,,Orange,
2001ADOT-WH-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,White,White,White,
2001ADOT-WW-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,,Weathered Wood,
OP6001-OT-BK-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Black,Black,Black,
OP6001-OT-TQ-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Turquoise,
OP6001-OT-DKBR-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Brown,Brown,Dark Brown,
OP6001-OT-WH-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,White,White,White,
OP6001-OT-OR-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Orange,Orange,Orange,
OP6001-OT-RD-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Red,Red,Red,
OP6001-OT-PB-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Pacific Blue,
OP6001-OT-NB-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Navy Blue,
OP6001-OT-GY-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Gray,Gray,Gray,
OP6001-OT-LM-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Lime,
OP6001-OT-DKGR-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Dark Green,
OP6001-OT-WW-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Beige,Beige,Weathered Wood,
OP6015-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Black,Black,Black,
OP6015-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
OP6015-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,blue,Navy,
OP6015-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,Beige,Taupe,
OP6015-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,White,White,White,
OP6015-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,beige,Teak,
OP6015-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
2001-AC-CS-DKGR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,green,Dark Green,
2001-AC-CS-BK-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Black,Black,Black,
2001-AC-CS-SD-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Sand,
2001-AC-CS-PB-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Pacific Blue,
2001-AC-CS-OR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Orange,Orange,Orange,
2001-AC-CS-TQ-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,,Turquoise,
2001-AC-CS-LM-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,,Lime,
2001-AC-CS-GY-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Gray,Gray,Gray,
2001-AC-CS-TK-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Teak,
2001-AC-CS-DKBR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Brown,Brown,Dark Brown,
2001-AC-CS-WW-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Weathered Wood,
2001-AC-CS-WH-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,White,White,White,
2001-AC-CS-RD-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Red,Red,Red,
2001-AC-CS-NB-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Navy Blue,
