sku,fields.name,fields.brand,fields.description,fields.material,fields.pattern,fields.bullet_1,fields.bullet_2,fields.bullet_3,fields.bullet_4,fields.bullet_5,fields.country_of_origin,fields.import_description,fields.assembly_details,fields.frame_color,fields.material_frame,fields.targeted_audience,fields.subtype,fields.maximum_seating_capacity,fields.number_of_piece,fields.seat_depth,fields.seat_height_floor_to_set_top,fields.seat_width,fields.target_listing_action,fields.target_posting_template,fields.warranty,fields.target_sku,fields.cushion_type,fields.arm_type,fields.cushion_textiles_1,fields.maximum_set_seating_capacity,fields.seating_piece_1_depth,fields.seating_piece_1_height,fields.seating_piece_1_seat_depth,fields.seating_piece_1_type,fields.seating_piece_1_weight,fields.seating_piece_1_width,fields.shape,fields.tabletop_thickness,fields.material_textile_1,fields.pattern_group,fields.seat_back_height,fields.upholstery,fields.material_furniture_hardware,fields.cushion_material_fill_1,fields.seating_piece_1_material_seat,fields.seating_piece_1_seat_back_height,fields.battery_1_information,fields.capacity_volume,fields.care_and_cleaning,fields.pet_type,fields.base_height,fields.base_length,fields.base_width,fields.base_weight,fields.maximum_pole_diameter_accommodated,fields.base_weight_approximate_when_filled,fields.fillable_base,fields.power_source,fields.closure_type,fields.material_fill_1,fields.seat_cushion_depth,fields.seat_cushion_thickness,fields.seat_cushion_width,fields.height_adjustability,fields.seat_height_maximum_floor_to_seat_top,fields.seat_height_minimum_floor_to_seat_top,fields.includes,fields.pole_diameter,fields.pole_height,fields.umbrella_lift_type,fields.umbrella_shade_color,fields.umbrella_weight,fields.umbrella_width,fields.ligthed,fields.umbrella_length,fields.umbrella_tilt,fields.lighted,fields.number_of_settings,fields.heat_coverage,fields.maximum_heat_output,fields.extension_table,fields.table_base_style,fields.table_piece_1_number_of_seats_accommodated,fields.table_piece_1_floor_to_apron_height,fields.table_piece_1_height,fields.table_piece_1_length,fields.table_piece_1_weight,fields.table_piece_1_width,fields.number_of_seats_accommodated,fields.material_surface,fields.floor_to_apron_height,fields.pet_lifestage,fields.protective_qualities,fields.table_piece_1_type,fields.seat_or_cushion_color,fields.required_not_included,fields.material_fill_percentage_1,fields.seat_back_width,fields.material_tabletop,options.0,options.1
variant-269,"WestinTrends 71"" Outdoor Patio Dining Table",WestinTrends,"This 71"" outdoor dining table is sure to complete your patio or backyard and match with your outdoor dining chairs. Created with HDPE material adds durability and can withstand the outdoor elements. The table is made to look like natural wood but does not prone to splinters, cracks, or peeling.",,,Durable weather-resistant polyethylene plastic,Fade and UV resistant plastic outdoor material.,Simple assembly required,"1.97"" center hole for standard umbrella (hole cover included)",Limited 30-Day warranty,,Imported,"Adult Assembly Required, Tools Provided",,HDPE (High-Density Polyethylene),,Patio Dining Tables,,,,,,FULL,Patio Dining Tables,30 Day Limited Warranty,,,,,,,,,,,,Rectangle,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Extension,,,,,,,,4,,,,,,,,,,,size,color
variant-274,WestinTrends Outdoor Patio All-weather Modern Coffee Table,WestinTrends,"Give your outdoor patio some more space to hold all your drinks and snacks with this contemporary designed Adirondack coffee table. Perfect for the outdoors, the all-weather-resistant HIPS (High Impact Polystyrene) is perfect for resisting wear and tear with its abrasion resistance.",,,Order includes: One (1) Outdoor Coffee Table,"Item Dimension: 35.8"" W x 18.1"" D x 16.95"" H. Item weight: 25 LBS. Weight Capacity: 110 LBS","Materials: HIPS (High Impact Polystyrene), Stainless Steel Hardware. Simple assembly required and easy maintains.","Perfect for the outdoors, the HIPS (Polystyrene) material is weather-resistant and can withstand the outdoor weather. The material also has a wood-like grain texture that gives the a natural wood look without any of the disadvantages.","Available in multiple colors can be used outdoors and indoors because of its functionality. Set with other patio chairs to help keep your book, drinks to any seating area.",,Imported,"Adult Assembly Required, Tools Not Provided",,Polystyrene,,,,,,,,FULL,Patio Coffee Tables,30 Day Limited Warranty,,,,,,,,,,,,Rectangle,1,,,,,,,,,,,Spot or Wipe Clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-279,WestinTrends Outdoor Patio All-weather Modern Side Table,WestinTrends,"Perfect for the patio or next to the poolside while laying on your chair, this Adirondack side table adds that finishing touch to your patio. Modern and simple, this side table is the perfect match for your Adirondack chair or chaise lounger and is perfect for holding all your snacks and drinks.",,,Order includes: One (1) Outdoor Side Table,"Item Dimension: 24"" W x 16.7"" D x 18.1"" H. Item weight: 21.15 LBS. Weight Capacity: 110 LBS","Materials: HIPS (High Impact Polystyrene), Stainless Steel Hardware. Simple assembly required and easy maintains.","Perfect for the outdoors, the HIPS (Polystyrene) material is weather-resistant and can withstand the outdoor weather. The material also has a wood-like grain texture that gives the a natural wood look without any of the disadvantages.","Available in multiple colors can be used outdoors and indoors because of its functionality. Set with other patio chairs to help keep your book, drinks to any seating area.",,Imported,"Adult Assembly Required, Tools Not Provided",,Polystyrene,,,,,,,,FULL,Patio End Tables,30 Day Limited Warranty,,,,,,,,,,,,Rectangle,1,,,,,,,,,,,Spot or Wipe Clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-284,WestinTrends 3-Piece Outdoor Adirondack Coffee Table and Side Table Set,WestinTrends,"Enhance your outdoor lifestyle with our 3-piece coffee table and side table set. The ultimate companion for your Adirondack chair and matching patio furniture, creating a seamless and classic style to your outdoor space. The double-layer design grants you double the storage space.",,,"Order includes: Two (2) Side Tables, One (1) Coffee Table","Side Table Dimension: 24"" W x 16.7"" D x 18.1"" H. Side Table Weight: 21.15 LBS. Weight Capacity: 110 LBS","Coffee Table Dimension: 35.8"" W x 18.1"" D x 16.95"" H. Coffee Table Weight: 24.9 LBS. Weight Capacity: 110 LBS.","Materials: HIPS (High Impact Polystyrene), Stainless Steel Hardware. Simple assembly required and easy maintains.","Crafted with all-weather material that mimics natural wood, these tables fearlessly brave the elements, ensuring durability and longevity for endless enjoyment. Elevate your outdoor experience and create cherished memories with this exquisite set.",,Imported,"Adult Assembly Required, Tools Provided",,HDPE (High-Density Polyethylene),Adult (18 Years and Up),Patio Conversation Sets,3,3,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Hard Seat (No Cushion),,No Cushion,,20,35,20,Adirondack chair,24.9,29,Rectangle,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Accent Tables,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-289,WestinTrends  4-Piece Modern Patio Conversation Sofa Set with Cushions,WestinTrends,"Lounging by the pool, patio, or balcony, no matter where you are, this patio set is sure to be the center piece for your outdoor living space. With comfortable cushions, you can spend hours chatting with friends or family while placing your drinks on the tempered glass coffee table.",,,"Set Includes: one (1) Loveseat, Two (2) Armchairs, One (1) Coffee Table","Item Dimension: Loveseat: 51"" W x 23.5"" D x 31.5"" H. Weight Capacity: 660 LBS. Armchair: 34"" W x 23.5"" D x 31.5"" H. Weight Capacity: 330 LBS. Coffee Table: 34.5"" W x 19.5"" D x 13.5. Weight Capacity: 110 LBS","Materials: Weather-resistant PE rattan wicker, Rust Resistant Hardware. Simple assembly required and easy maintains.",Cushion covers are made of a polyester blend that is both all-weather fabric and fade resistant.,This outdoor patio conversation set is ideal for promoting a peaceful space and making your backyard stand out.,,imported,"Adult Assembly Required, Tools Provided",,Wicker,,Patio Conversation Sets,4,4,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat Cushion,,Polyester,4,38.7,31.5,38.7,Patio Loveseat,106,51,,,,,,,Stainless Steel,Polyester,Wicker,31.5,,,,,,,,,,,,,,,,,,,,,3 Arm Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-294,WestinTrends 4 Piece Outdoor Wicker Rattan Conversation Sofa set with Coffee table,WestinTrends,"Lounging by the pool, patio, or balcony, no matter where you are, this patio set is sure to be the center piece for your outdoor living space. With comfortable cushions, you can spend hours chatting with friends or family while placing your drinks on the tempered glass coffee table.",,,"Set Includes: one (1) Loveseat, Two (2) Armchairs, One (1) Coffee Table","Item Dimension: Loveseat: 51"" W x 23.5"" D x 31.5"" H. Weight Capacity: 660 LBS. Armchair: 34"" W x 23.5"" D x 31.5"" H. Weight Capacity: 330 LBS. Coffee Table: 34.5"" W x 19.5"" D x 13.5. Weight Capacity: 110 LBS","Materials: Weather-resistant PE rattan wicker, Rust Resistant Hardware. Simple assembly required and easy maintains.",Cushion covers are made of a polyester blend that is both all-weather fabric and fade resistant.,This outdoor patio conversation set is ideal for promoting a peaceful space and making your backyard stand out.,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,4,4,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat Cushion,,Polyester,4,38.7,31.5,38.7,Patio Loveseat,106,51,,,,,,,Stainless Steel,Polyester,Wicker,31.5,,,,,,,,,,,,,,,,,,,,,2 Loveseats,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-299,WestinTrends  4-Piece Modern Patio Conversation Sofa Set with Cushions,WestinTrends,"Lounging by the pool, patio, or balcony, no matter where you are, this patio set is sure to be the center piece for your outdoor living space. With comfortable cushions, you can spend hours chatting with friends or family while placing your drinks on the tempered glass coffee table.",,,"Set Includes: one (1) Loveseat, Two (2) Armchairs, One (1) Coffee Table","Item Dimension: Loveseat: 51"" W x 23.5"" D x 31.5"" H. Weight Capacity: 660 LBS. Armchair: 34"" W x 23.5"" D x 31.5"" H. Weight Capacity: 330 LBS. Coffee Table: 34.5"" W x 19.5"" D x 13.5. Weight Capacity: 110 LBS","Materials: Weather-resistant PE rattan wicker, Rust Resistant Hardware. Simple assembly required and easy maintains.",Cushion covers are made of a polyester blend that is both all-weather fabric and fade resistant.,This outdoor patio conversation set is ideal for promoting a peaceful space and making your backyard stand out.,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,4,4,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat Cushion,,Polyester,4,38.7,31.5,38.7,Patio Loveseat,106,51,,,,,,,Stainless Steel,Polyester,Wicker,31.5,,,,,,,,,,,,,,,,,,,,,2 Armless Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-304,WestinTrends  4-Piece Outdoor Patio Conversation Set,WestinTrends,"Turn your backyard into a place of style, comfort, and conversation space with this beautiful 4-piece woven rattan wicker and coffee table conversation set. The entire set is wrapped in a beautiful woven rattan wicker that is made up of PE material that adds durability and strength to the set.",,,"Set includes one (1) sofa loveseat, two (2) arm chairs, and one (1) coffee table.",PE rattan wicker adds strength and durability.,UV resistant coating prevents fading and weather resistant exposure helps against the elements,Steel frame furniture adds durability and strength to the set,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,4,4,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat Cushion,,Polyester,4,26,30.2,26,Patio Loveseat,71,44.5,,,,,,,Stainless Steel,Polyester,Rattan,16,,,,,,,,,,,,,,,,,,,,,2 Arm Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-309,WestinTrends  3-Piece Outdoor Patio Conversation Set,WestinTrends,"This lovely 3-piece outdoor patio set will help you create the tranquil outdoor seating area you've been dreaming of. Made of a strong steel frame that can support up to 300 lbs. and is wrapped in high-quality all-weather PE rattan wicker, making the set strong and durable.",,,Set includes two (2) arm chairs and one (1) side table.,PE rattan wicker adds strength and durability.,UV resistant coating prevents fading and weather resistant exposure helps against the elements,Steel frame furniture adds durability and strength to the set,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,3,2,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat Cushion,,Polyester,2,26,30.2,26,Patio Arm Chair,37.5,24.7,,,,,,,Stainless Steel,Polyester,Rattan,16,,,,,,,,,,,,,,,,,,,,,2 Arm Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-314,WestinTrends 4-Piece Wicker Outdoor Patio Conversation Set with Coffee Table,WestinTrends,Bring a calm and relaxing space to any patio with this amazing conversation sofa that will bring comfort and style. Crafted out of durable HDPE rattan that's woven into a beautiful wicker design that is supported by a strong steel frame that can support up to 300 lbs per seat.,,,"Set includes one (1) Loveseat sofa, Two (2) Armchairs and One (1) Coffee Table.",Woven resin wicker material adds durability strengthens set.,Durable steel frame supports up to 300 lbs per seat,Plush 3-inch cushions provide extra comfort,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,4,4,,,,UNLIST,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat Cushion,,Polyester,4,25.2,25.2,25.2,Patio Loveseat,84,50.5,,,,,,,Stainless Steel,Polyester,Wicker,25.2,,,,,,,,,,,,,,,,,,,,,1 Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-319,WestinTrends 4-Piece Wicker Outdoor Patio Conversation Sofa Set with Coffee Table,WestinTrends,Bring a calm and relaxing space to any patio with this amazing conversation sofa that will bring comfort and style. Crafted out of durable HDPE rattan that's woven into a beautiful wicker design that is supported by a strong steel frame that can support up to 300 lbs per seat.,,,"Set includes one (1) Loveseat sofa, Two (2) Armchairs and One (1) Coffee Table.",Woven resin wicker material adds durability strengthens set.,Durable steel frame supports up to 300 lbs per seat,Plush 3-inch cushions provide extra comfort,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Brown,,Patio Conversation Sets,,4,,,,UNLIST,Patio Seating Sets,30 Day Limited Warranty,,,,Polyester,4,29,29.5,29,Patio Loveseat,50,49.5,,,,,,,Stainless Steel,Polyester,Wicker,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,size,color
variant-329,WestinTrends  4-Piece Modern Patio Conversation Sofa Set with Cushions,WestinTrends,Turn your backyard into an inviting space with this modern conversation sofa set. This set is sure to make the most of your backyard with the comfortable upholstered plush cushions that will provide all day comfort. It is constructed of weather-resistant rattan wicker that is durable and sturdy.,,,"Set includes one (1) sofa loveseat, two (2) armchairs, and one (1) coffee table.",Rattan wicker construction adds strength and a beautiful look to the set.,Weather and UV resistant layer of protection that can take on the elements,Durable design that can support up to 300 lbs per sofa,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,4,4,,,,UNLIST,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat and Back Cushions,,Polyester,4,27.5,28.7,27.5,Patio Loveseat,112,55,,,,,,,Stainless Steel,Polyester,Rattan,28.7,,,,,,,,,,,,,,,,,,,,,1 Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-334,WestinTrends 3-Piece Wicker Outdoor Patio Conversation Set,WestinTrends,"This lovely 3-piece outdoor patio set will help you create the tranquil outdoor seating area you've been dreaming of. Made of a strong steel frame that can support up to 250 lbs and is wrapped in high-quality all-weather PE rattan wicker, making the set strong and durable.",,,Set includes two (2) arm chairs and one (1) side table.,PE rattan wicker adds strength and durability.,Polyester-blended cushion covers maintain their shape and resistant to fading,UV resistant coating prevents fading and weather resistant exposure helps against the elements,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,3,2,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat Cushion,,Polyester,2,18,32.5,18,Patio Arm Chair,12,18,,,,,,,Stainless Steel,Polyester,Rattan,32.5,,,,,,,,,,,,,,,,,,,,,2 Arm Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-339,WestinTrends 4-Piece Wicker Outdoor Patio Conversation Set,WestinTrends,"This lovely 4-piece outdoor patio set will help you create the tranquil outdoor seating area you've been dreaming of. Made of a strong steel frame that is wrapped in high-quality all-weather PE rattan wicker, making the set strong and durable.",,,"Set includes one (1) loveseat, two (2) arm chairs, and one (1) side table.",PE rattan wicker adds strength and durability.,Polyester-blended cushion covers maintain their shape and resistant to fading,UV resistant coating prevents fading and weather resistant exposure helps against the elements,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,4,2,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat and Back Cushions,,Solution-Dyed Polyester,4,26.6,34.2,26.6,Patio Loveseat,50,26.4,,,,,,,Stainless Steel,Solution-Dyed Polyester,Rattan,34.2,,,,,,,,,,,,,,,,,,,,,1 Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-344,WestinTrends  4-Piece Outdoor Patio Sofa Sectional Set with Ottoman,WestinTrends,Take your backyard from a bland and boring area to a place of glamour with this attractive and modern 4-piece outdoor patio set. The set is made with environmentally friendly HDPE rattan that is woven into a beautiful wicker design and is resistant to weather and UV rays.,,,"Order includes: Two (2) Corner Sofas, One (1) Sofa Chair, One (1) Ottoman Coffee Table.","Corner Sofa Dimension: 29"" W x 29"" D x 25.5"" H. Seat Height: 11.5"". Weight Capacity: 330 LBS","Sofa Chair Dimension: 25.2"" W x 29"" D x 25.5"" H. Seat Height: 11.5"". Weight Capacity: 330 LBS.","Ottoman Coffee Table Dimension: 25.2"" W x 25.2"" D x 11.5"" H. Weight Capacity: 330 LBS.","PE rattan wicker and rust resistant hardware keep the set in prime condition. The thick and soft cushions are comfortable to sit on, the polyester fabric is all-weather and fade resistant. Simple assembly required.",,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,4,4,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat and Back Cushions,,Polyester,4,29,25.5,29,Patio Sofa,100,29,,,,,,,Stainless Steel,Polyester,Wicker,25.5,,,,,,,,,,,,,,,,,,,,,1 Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-349,WestinTrends 4-Piece PE Rattan Wicker Conversation Sofa Set with Cushions,WestinTrends,"This 4-Piece Outdoor Conversation Sofa Set with Cushion is made of a strong steel frame with all-weather resistant PE Rattan wicker. Created and crafted as an excellent choice for patio, porch, poolside, or garden area.",,,"Set Includes: One (1) Loveseat Sofa, Two (2) Sofa Armchairs, One (1) Coffee Table.",Made with Weather and UV Resistant Materials.,Coffee Table has Convenient Built-in Storage Compartment,High Quality thick seat cushions and Back Pillows,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,4,4,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat and Back Cushions,,Polyester,4,28.3,30.3,28.3,Patio Loveseat,60,50.4,,,,,,,Stainless Steel,Polyester,Rattan,30.3,,,,,,,,,,,,,,,,,,,,,1 Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-354,WestinTrends 2-Piece PE Rattan Wicker Outdoor Sofa with Cushions Side Table Set,WestinTrends,"This 3-seater Outdoor Sofa with side table set is the perfect addition to any backyard or patio. Featuring a durable PE Rattan with rust resistant steel frame, this patio sofa is not only well built, but stylish as well. Weather resistant seat and back cushions provide maximum comfort.",,,"Set Includes: One (1) Three Seater Outdoor Sofa, One (1) Square Outdoor Side Table.",Made with weather and UV resistant materials.,Side table features a built in storage compartment,High quality thick seat cushions and back pillows,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,3,3,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat and Back Cushions,,Polyester,3,28.3,30.3,28.3,Patio Sofa,65,72.4,,,,,,,Stainless Steel,Polyester,Rattan,30.3,,,,,,,,,,,,,,,,,,,,,1 Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-359,WestinTrends 6-Piece PE Rattan Wicker Outdoor Patio Conversation Sofa Set,WestinTrends,Enjoy this 6-Piece Outdoor Conversation Sofa Set in your patio or outdoor living area. Made of a strong steel frame with all-weather resistant PE Rattan wicker. Created and crafted as an excellent choice for patio or poolside. Coffee table and side table has convenient built-in storage compartment.,,,"One (1) Three Seater Sofa, One (1) Two Seater Loveseat, Two (2) Armchairs, One (1) Coffee Table, One (1) Square Side Table.",Made with weather and UV resistant materials.,Side table features a built in storage compartment,High quality thick seat cushions and back pillows,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,5,6,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat and Back Cushions,,Polyester,6,28.3,30.3,28.3,Patio Loveseat,60,50.4,,,,,,,Stainless Steel,Polyester,Rattan,30.3,,,,,,,,,,,,,,,,,,,,,1 Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-364,WestinTrends  3-Piece Outdoor Patio Conversation Set,WestinTrends,"This lovely 3-piece outdoor patio set will help you create the tranquil outdoor seating area you've been dreaming of. Made of a strong steel frame that can support up to 300 lbs. and is wrapped in high-quality all-weather PE rattan wicker, making the set strong and durable.",,,Set includes two (2) arm chairs and one (1) side table.,PE rattan wicker adds strength and durability.,UV resistant coating prevents fading and weather resistant exposure helps against the elements,Steel frame furniture adds durability and strength to the set,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,3,2,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Loose Seat Cushion,,Polyester,2,26,30.2,26,Patio Arm Chair,18,24.7,,,,,,,Stainless Steel,Polyester,Wicker,30.2,,,,,,,,,,,,,,,,,,,,,2 Arm Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-369,WestinTrends 4 Piece Conversation Outdoor Patio Sofa Set with Square Fire Pit Table,WestinTrends,Gather the family around this Wicker patio sofa set that feature an all-weather PE wicker with steel frame. The gas fire pit table features a stainless fire burner that allows you to enjoy warm heat in outdoor space all year round. Made with durable materials for daily outdoor use.,,,"Set Includes: One (1) Sofa Loveseat, Two (2) Armchairs, One (1) Coffee Table, One (1) Square Fire Pit Table.",Weather and UV Resistant Materials.,Eco-Friendly PE Rattan Wicker,4PC Conversation Set Features Durable Steel Frame,Limited 30-Day warranty,,imported,"Adult Assembly Required, Tools Provided",,Rattan,,Patio Conversation Sets,4,4,,,,FULL,Patio Seating Sets,30 Day Limited Warranty,,Tight Seat Cushion,,Polyester,4,38.7,31.5,38.7,Patio Loveseat,106,51,,,,,,,Stainless Steel,Polyester,Wicker,31.5,,,,,,,,,,,,,,,,,,,,,1 Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
variant-381,"WestinTrends Elevated Pet Feeder for Cats and Dogs Puppy, Removable stainless steel eating Bowl, All Weather Resistant",WestinTrends,"Provide your pet with a comfortable and healthy feeding experience with this pet feeder. This elevated design creates a health-conscious environment by allowing your pet to eat in a natural standing position which helps aid in their digestion and reduces stress on their body, improving overall health and well-being. The elevated pet feeder is constructed from durable HDPE material, it can withstand harsh weather conditions with its UV and resistant properties. Includes two stainless steel bowls that are easy to clean and food grade safe. Easy to transport making it perfect for indoor and outdoor use.",Stainless Steel,,Removable stainless steel food bowls included,Strong HDPE material.  Perfect for outdoor and indoor.,UV and weather resistant,Rust resistant stainless steel hardware,Minimal maintenance needed,,imported,"Adult Assembly Required, Tools Provided",,,,,,,,,,FULL,Double Pet Bowl,30 Day Limited Warranty,,,,,,,,,,,,,,,,,,,,,,No Battery Used,10,Hand Wash,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Ages,,,,,,,,size,color
variant-384,"WestinTrends 4-Piece Universal Cantilever Offset Square Base Outdoor Patio Umbrella Weights Heavy Duty, Fill with Water or Sand",WestinTrends,"Stop your umbrella from falling down with this helpful 4-piece weight base set, that will let you enjoy your umbrella without any distractions. It's made with weather and UV resistant HDPE plastic and features four square plates with rounded corners and metal handles for carrying around. The weights can be filled with either water or sand, so the base weights provide additional weight to the patio umbrella during windy days.",,,Set includes: 4 (four) fillable plastic base weights.  18.5 lb total capacity - 4.5 lb each fillable base.,Base weights are compatible with most cross brace stands.,Each weight can be filled with 38.9 lbs of sand or water,Weather and UV resistant treated material prevents fading and protects from outdoor elements,Fill with sand or water and place on umbrella stand for easy assembly,,Imported,"Adult Assembly Required, Some Tools Provided",,Plastic,,Cantilever Umbrella Bases,,,,,,FULL,Umbrella Bases,30 Day Limited Warranty,,,,,,,,,,,,Square,,,,,,,,,,,,,,3,20,20,18.5,2,40,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sand or Water Fill to Weight Base,,,,size,color
variant-389,"WestinTrends 20"" Fillable Round Umbrella Base Stand Heavy Duty with Adjustable knob and Pole Holder",WestinTrends,Every umbrella requires a base to keep it upright and keep the wind from blowing it away. Made of weather- and UV-resistant HDPE material this base is perfect for the outdoors. suitable for 1.5- to 2-inch poles with helpful knobs to tighten for a more secure fit on the pole. Simple to fill with water or sand and ensure that you have the perfect base this season for your umbrella.,,,Adjustable knobs for a secure fit on umbrella.,Compatible with 1.5 in. to 2 in. poles or most standard umbrella poles.,Made with durable HDPE materials,Weather and UV resistant material,Fillable with water or sand,,Imported,"Adult Assembly Required, Some Tools Provided",,Plastic,,Market Umbrella Bases,,,,,,FULL,Umbrella Bases,30 Day Limited Warranty,,,,,,,,,,,,Round,,,,,,,,,,,,Spot or Wipe Clean,,13,20,20,6.4,2,50,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,Sand or Water Fill to Weight Base,,,,size,color
variant-406,WestinTrends Dylan HDPE Outdoor Patio Adirondack Chair (Set of 2),WestinTrends,"Sit back, relax, and catch a tan or enjoy some family time on this stunningly crafted 2-piece Adirondack chair set. Designed with comfort and style in mind, with a broad armrest for extra armroom, a curved reclined seashell backrest for a more comfortable seat, and a high back that helps create less tension on your back. Constructed from a durable and solid HDPE material that is weather resistant and, unlike wood, won't rot, crack, chip, peel, or splinter. A UV-protective coating prevents fading, keeping the colors vibrant and amazing all year long. These attractive chairs are easy to clean, making them perfect for the outdoors, and they are sure to make your backyard the place to be.",,,Set Includes: Two (2) Dylan Chairs,Vibrantly colored during manufacturing for even distribution & deep embedding of colors within the plastic.,"This product's all-weather and uv-resistant construction ensures it withstands sun exposure, snow, rain, and wet rot","Enhanced sink-in comfort with sloped seat, armrests and wide backrest",,,imported,"Adult Assembly Required, Tools Provided",,HDPE (High-Density Polyethylene),Adult,Patio Lounge Sets,2,2,20,15,22,FULL,Patio Seating Sets,30 Day Limited Warranty,,Hard Seat (No Cushion),,No Cushion,,20,15,20,Adirondack chair,42,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Adirondack Chairs,,,,,,,,,,,,,,,,,,,,,,,,,,All-Weather Design,,,,,,,size,color
