sku,group_skus.0
OP6001-OT-PB-TAG,variant-111
OP6001-OT-NB-TAG,variant-111
OP6001-OT-GY-TAG,variant-111
OP6001-OT-LM-TAG,variant-111
OP6001-OT-DKGR-TAG,variant-111
OP6001-OT-WW-TAG,variant-111
OP6015-BK-TAG,variant-116
OP6015-WG-TAG,variant-116
OP6015-NB-TAG,variant-116
OP6015-TP-TAG,variant-116
OP6015-WH-TAG,variant-116
OP6015-TK-TAG,variant-116
OP6015-CG-TAG,variant-116
2001-AC-CS-DKGR-TAG,variant-121
2001-AC-CS-BK-TAG,variant-121
2001-AC-CS-SD-TAG,variant-121
2001-AC-CS-PB-TAG,variant-121
2001-AC-CS-OR-TAG,variant-121
2001-AC-CS-TQ-TAG,variant-121
2001-AC-CS-LM-TAG,variant-121
2001-AC-CS-GY-TAG,variant-121
2001-AC-CS-TK-TAG,variant-121
2001-AC-CS-DKBR-TAG,variant-121
2001-AC-CS-WW-TAG,variant-121
2001-AC-CS-WH-TAG,variant-121
2001-AC-CS-RD-TAG,variant-121
2001-AC-CS-NB-TAG,variant-121
OP6001-ST-BK-TAG,variant-126
OP6001-ST-DKGR-TAG,variant-126
OP6001-ST-WW-TAG,variant-126
OP6001-ST-GY-TAG,variant-126
OP6001-ST-NB-TAG,variant-126
OP6001-ST-RD-TAG,variant-126
OP6001-ST-LM-TAG,variant-126
OP6001-ST-DKBR-TAG,variant-126
OP6001-ST-WH-TAG,variant-126
OP6001-ST-PB-TAG,variant-126
OP6001-ST-OR-TAG,variant-126
OP6001-ST-TQ-TAG,variant-126
OP6014-WG-TAG,variant-131
OP6014-TK-TAG,variant-131
OP6014-CG-TAG,variant-131
OP6014-WH-TAG,variant-131
OP6014-NB-TAG,variant-131
OP6014-TP-TAG,variant-131
OP6014-BK-TAG,variant-131
2001-AC2-CS-SD-TAG,variant-136
2001-AC2-CS-GY-TAG,variant-136
2001-AC2-CS-BK-TAG,variant-136
2001-AC2-CS-DKGR-TAG,variant-136
2001-AC2-CS-OR-TAG,variant-136
2001-AC2-CS-DKBR-TAG,variant-136
2001-AC2-CS-WW-TAG,variant-136
