sku,fields.weight.value,fields.package_height,fields.package_width,fields.package_length,fields.height.value,fields.width.value,fields.length.value,fields.package_weight,fields.abn_size,fields.target_color,fields.target_sku,fields.frame_color,fields.color,fields.size
2001AOC-TQ2-TAG,36.0,8.6,22.8,36.0,35.2,29.2,32.0,45.0,,green,WWT00759,green,Turquoise,
OP6001-AOC-TQ2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT01030,green,Turquoise,
OP6001-AOC-WH2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,White,WWT01031,White,White,
OP6001-AOC-DKBR2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Brown,WWT01022,Brown,Dark Brown,
OP6001-AOC-LM2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Green,WWT01025,Green,Lime Green,
OP6001-AOC-GY2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Gray,WWT01024,Gray,Gray,
OP6001-AOC-NB2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Blue,WWT01026,Blue,Navy Blue,
OP6001-AOC-WW2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Beige,WWT01032,Beige,Weathered Wood,
OP6001-AOC-RD2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Red,WWT01029,Red,Red,
OP6001-AOC-PB2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Blue,WWT01028,Blue,Pacific Blue,
OP6001-AOC-OR2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Orange,WWT01027,Orange,Orange,
OP6001-AOC-DKGR2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,green,WWT01023,green,Dark Green,
OP6001-AOC-BK2-TAG,42.0,23.1,33.5,7.0,36.4,24.0,33.5,45.3,,Black,WWT01021,Black,Black,
OP6018-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Black,WWT02925,Black,Black,
OP6018-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,blue,WWT02928,beige,Teak,
OP6018-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Gray,WWT02926,Gray,Charcoal Gray,
OP6018-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,White,WWT02931,White,White,
OP6018-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,Gray,WWT02930,Gray,Weathered Gray,
OP6018-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45.0,,blue,WWT02927,blue,Navy,
